Image,Weed Pixels,Total Pixels,Weed %,Healthy %
DJI_DateTime_2024_06_02_13_49_0153_lat_10.3042771_lon_105.2621396_alt_19.971m.png,174544,1228800,14.2,85.8
DJI_DateTime_2024_06_02_13_49_0154_lat_10.3043089_lon_105.2621413_alt_20.006m.png,200426,1228800,16.31,83.69
DJI_DateTime_2024_06_02_13_49_0155_lat_10.3043406_lon_105.2621434_alt_19.988m.png,177844,1228800,14.47,85.53
DJI_DateTime_2024_06_02_13_49_0156_lat_10.3043721_lon_105.2621452_alt_20.021m.png,180548,1228800,14.69,85.31
DJI_DateTime_2024_06_02_13_49_0157_lat_10.3044041_lon_105.2621472_alt_20.007m.png,177659,1228800,14.46,85.54
DJI_DateTime_2024_06_02_13_49_0158_lat_10.3044372_lon_105.2621487_alt_20.002m.png,219883,1228800,17.89,82.11
DJI_DateTime_2024_06_02_13_49_0159_lat_10.3044691_lon_105.2621513_alt_20.018m.png,227561,1228800,18.52,81.48
DJI_DateTime_2024_06_02_13_49_0160_lat_10.3045015_lon_105.2621532_alt_20.033m.png,281972,1228800,22.95,77.05
DJI_DateTime_2024_06_02_13_49_0161_lat_10.3045338_lon_105.2621547_alt_20.030m.png,275989,1228800,22.46,77.54
DJI_DateTime_2024_06_02_13_49_0162_lat_10.3045662_lon_105.2621564_alt_19.985m.png,263967,1228800,21.48,78.52
DJI_DateTime_2024_06_02_13_50_0163_lat_10.3045975_lon_105.2621583_alt_19.972m.png,201861,1228800,16.43,83.57
DJI_DateTime_2024_06_02_13_50_0164_lat_10.3046304_lon_105.2621598_alt_19.938m.png,181581,1228800,14.78,85.22
DJI_DateTime_2024_06_02_13_50_0165_lat_10.3046622_lon_105.2621614_alt_19.952m.png,168377,1228800,13.7,86.3
DJI_DateTime_2024_06_02_13_50_0166_lat_10.3046943_lon_105.2621629_alt_20.007m.png,196815,1228800,16.02,83.98
DJI_DateTime_2024_06_02_13_50_0167_lat_10.3047262_lon_105.2621640_alt_19.995m.png,213508,1228800,17.38,82.62
DJI_DateTime_2024_06_02_13_50_0168_lat_10.3047583_lon_105.2621660_alt_19.994m.png,189019,1228800,15.38,84.62
DJI_DateTime_2024_06_02_13_50_0169_lat_10.3047908_lon_105.2621676_alt_19.978m.png,215849,1228800,17.57,82.43
DJI_DateTime_2024_06_02_13_50_0170_lat_10.3048234_lon_105.2621692_alt_19.985m.png,150837,1228800,12.28,87.72
DJI_DateTime_2024_06_02_13_51_0190_lat_10.3048642_lon_105.2622379_alt_20.020m.png,99459,1228800,8.09,91.91
DJI_DateTime_2024_06_02_13_51_0191_lat_10.3048318_lon_105.2622363_alt_19.999m.png,149983,1228800,12.21,87.79
DJI_DateTime_2024_06_02_13_51_0192_lat_10.3047998_lon_105.2622341_alt_19.990m.png,154457,1228800,12.57,87.43
DJI_DateTime_2024_06_02_13_51_0193_lat_10.3047677_lon_105.2622328_alt_19.982m.png,176797,1228800,14.39,85.61
